host,ip,port,protocol,title,domain,country,city,link,as_organization
https://89.255.71.87,89.255.71.87,443,https,,,RU,Moscow,https://89.255.71.87,NEO Print Ltd.
https://178.216.180.16,178.216.180.16,443,https,,,RU,Krasnodar,https://178.216.180.16,LLC Powernet
https://89.255.71.87,89.255.71.87,443,https,,,RU,Moscow,https://89.255.71.87,NEO Print Ltd.
https://178.216.180.16,178.216.180.16,443,https,,,RU,Krasnodar,https://178.216.180.16,LLC Powernet
109.123.157.152:5353,109.123.157.152,5353,mdns,,,RU,Tomsk,,National Research Tomsk Polytechnic University
https://31.42.223.53:22,31.42.223.53,22,https,404 Not Found,,RU,Konakovo,https://31.42.223.53:22,City-Line Ltd.
https://95.154.87.112:5002,95.154.87.112,5002,https,404 Not Found,,RU,Vladivostok,https://95.154.87.112:5002,Octopusnet LTD
https://95.154.87.112:5002,95.154.87.112,5002,https,,,RU,Vladivostok,https://95.154.87.112:5002,Octopusnet LTD
5.144.98.62:21,5.144.98.62,21,ftp,,,RU,Murino,,MTS PJSC
https://94.229.230.82:5003,94.229.230.82,5003,https,404 Not Found,,RU,Kemerovo,https://94.229.230.82:5003,MTS PJSC
https://94.229.230.82:5003,94.229.230.82,5003,https,,,RU,Kemerovo,https://94.229.230.82:5003,MTS PJSC
https://95.72.58.194:5001,95.72.58.194,5001,https,,,RU,Orekhovo-Zuyevo,https://95.72.58.194:5001,Rostelecom
https://95.72.58.194:5001,95.72.58.194,5001,https,,,RU,Orekhovo-Zuyevo,https://95.72.58.194:5001,Rostelecom
https://91.246.3.121:5001,91.246.3.121,5001,https,,,RU,Angarskiye Khutora,https://91.246.3.121:5001,Baikal Teleport CJSC
https://91.122.62.159:5001,91.122.62.159,5001,https,,,RU,Romanovka,https://91.122.62.159:5001,Rostelecom
https://31.29.244.158:5001,31.29.244.158,5001,https,,,RU,Saratov,https://31.29.244.158:5001,MTS PJSC
https://94.243.129.3:5001,94.243.129.3,5001,https,,,RU,Moscow,https://94.243.129.3:5001,Capital Telecom Limited Company
https://94.243.129.3:5001,94.243.129.3,5001,https,,,RU,Moscow,https://94.243.129.3:5001,Capital Telecom Limited Company
https://85.21.54.57:5001,85.21.54.57,5001,https,,,RU,Yaroslavl',https://85.21.54.57:5001,PVimpelCom
https://213.27.14.144:5001,213.27.14.144,5001,https,,,RU,Rostov-na-Donu,https://213.27.14.144:5001,MTS PJSC
https://178.216.180.18:5001,178.216.180.18,5001,https,,,RU,Krasnodar,https://178.216.180.18:5001,LLC Powernet
